,Institution,Faculty Name,Field,HomePage,Research Interests,Scholar Url,h_index,i10_index,Image
176,Indian Institute of Technology Guwahati,Diganta Goswami,Computer Science and Engineering,https://iitg.ac.in/iitg_faculty_details?name=Diganta-Goswami&fac=b1BqSUJTNFpiQUpnSEpIWXZ5alM0Zz09,"[ 'Distributed Systems ' , ' Software Engineering ' ]",https://scholar.google.co.in/citations?user=YV5TfOkAAAAJ,36,72,https://iitg.ac.in/storage/faculty/5231faculty.JPG
177,Indian Institute of Technology Guwahati,Dilip Pal,Physics,https://iitg.ac.in/iitg_faculty_details?name=Dilip-Pal&fac=eXdkZjA5SVlqcjJ0WVo5TU9PWDN5dz09,"[ 'Low Temperature Physics and Material Science ( Experimental ) ; Strongly Correlated Electron Systems ' , ' Vortex state in superconductors ' , ' Superconductivity and Magnetism . ' ]",https://scholar.google.co.in/citations?user=3u2qgMcAAAAJ,24,44,https://iitg.ac.in/storage/faculty/6974faculty.JPG
178,Indian Institute of Technology Guwahati,Dipankar Bandyopadhyay,Chemical Engineering Centre for Nanotechnology,https://iitg.ac.in/iitg_faculty_details?name=Dipankar-Bandyopadhyay&fac=ejVFd0JYUjJ5OUVlZ0xBdmZpcjFOdz09,"[ 'Colloid and Interfacial Phenomena ' , ' Computational Fluid Dynamics ' , ' Micro and Nano Fluidics ' , ' Complex Flow and Fluids ' , ' Clean Energy - Fuel and Solar Cells . ' ]",https://scholar.google.co.in/citations?user=ysNDZ94AAAAJ,8,7,https://iitg.ac.in/storage/faculty/8315faculty.JPG
179,Indian Institute of Technology Guwahati,Dr. Sunil Khijwania,Physics,https://iitg.ac.in/iitg_faculty_details?name=Dr.%20Sunil-Khijwania&fac=ckxtMzZHU3EwUUpKOXluRnh0QUxCUT09,[ 'Laser and Photonics ' ],https://scholar.google.co.in/citations?user=fW-dSUsAAAAJ,6,4,https://iitg.ac.in/storage/faculty/8264faculty.JPG
180,Indian Institute of Technology Guwahati,G Krishnamoorthy,Chemistry,https://iitg.ac.in/iitg_faculty_details?name=G-Krishnamoorthy&fac=d1BNSmpWRVdxYzBuZEpHZU1PWlRzZz09,[ 'Organic Photochemistry & Spectroscopy . ' ],https://scholar.google.co.in/citations?user=_VHba4MAAAAJ,27,62,https://iitg.ac.in/storage/faculty/8322faculty.JPG
181,Indian Institute of Technology Guwahati,G. Sajith,Computer Science and Engineering,https://iitg.ac.in/iitg_faculty_details?name=G.-Sajith&fac=OWJuK2NHVWpDV0RSbG42QTA1ckdyZz09,"[ 'External Memory Algorithms ' , ' Algorithmic Game Theory ' , ' Parallel and Distributed Algorithms ' , ' Complexity Theory ' ]",https://scholar.google.co.in/citations?user=Ukp9zWcAAAAJ,4,1,https://iitg.ac.in/storage/faculty/1985faculty.JPG
182,Indian Institute of Technology Guwahati,Gautam K. Das,Mathematics,https://iitg.ac.in/iitg_faculty_details?name=Gautam%20K.-Das&fac=TFIxVlJhRWJOZGRVV2tva3N4eFYwUT09,"[ 'Computational Geometry ' , ' Approximation Algorithms ' , ' Wireless Networks ' ]",https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/9094gkd.jpg
183,Indian Institute of Technology Guwahati,Harshal B. Nemade,Electronics and Electrical Engineering Centre for Intelligent Cyber-Physical Systems Centre for Nanotechnology Centre for Drone Technology,https://iitg.ac.in/iitg_faculty_details?name=Harshal%20B.-Nemade&fac=bHVtS0xwYkpKTU9MYUo4MTMzaXFqQT09,"[ 'Electronic instrumentation ' , ' Systems design ' , ' Ultrasonic instrumentation ' , ' Non-destructive test ' , ' Electronic product design ' , ' EMI/EMC issue ' , ' Acoustic sensor ' , ' Underwater acoustic ' , ' Surface acoustic wave device ' , ' MEMS . ' ]",https://scholar.google.co.in/citations?user=shLBfaQAAAAJ,132,654,https://iitg.ac.in/storage/faculty/1584faculty.JPG
184,Indian Institute of Technology Guwahati,Hemangee K. Kapoor,Computer Science and Engineering,https://iitg.ac.in/iitg_faculty_details?name=Hemangee-K.%20Kapoor&fac=bit1R2VEdkVCZlVnYldhQUJRRUcvZz09,"[ 'Multiprocessor Computer Architecture ' , ' Formal Methods ' , ' Network-on-Chip design ' , ' Asynchronous system ' ]",https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/2148faculty.JPG
185,Indian Institute of Technology Guwahati,Hemant B. Kaushik,Civil Engineering Centre for Disaster Management and Research,https://iitg.ac.in/iitg_faculty_details?name=Hemant-B.%20Kaushik&fac=MzFnK1R2N3RMMHAzYzRkRmE3bkZvdz09,[ ' * Earthquake Resistant Design * Nonlinear Behaviour of Structures * Retrofitting of Structures * Finite Element Modeling ' ],https://scholar.google.co.in/citations?user=shLBfaQAAAAJ,132,654,https://iitg.ac.in/storage/faculty/1141HBK.JPG
